skills,job_role
python sql machine learning pandas numpy,Data Scientist
python pandas numpy matplotlib,Data Scientist
python statistics data analysis,Data Scientist
python tensorflow keras deep learning,ML Engineer
python pytorch computer vision nlp,ML Engineer
python sklearn model training,ML Engineer
html css javascript,Frontend Developer
html css javascript bootstrap,Frontend Developer
react javascript redux css,Frontend Developer
angular javascript typescript,Frontend Developer
python django sql rest api,Backend Developer
python flask mysql api,Backend Developer
nodejs express mongodb,Backend Developer
java spring sql hibernate,Java Developer
java spring boot microservices,Java Developer
c c++ data structures algorithms,Software Engineer
python java problem solving,Software Engineer
oop operating systems dbms,Software Engineer
sql excel powerbi tableau,Data Analyst
sql python data visualization,Data Analyst
business intelligence reporting dashboards,Data Analyst
aws ec2 s3 lambda,Cloud Engineer
aws docker kubernetes devops,Cloud Engineer
azure cloud ci cd,Cloud Engineer
linux networking security,Network Engineer
routing switching firewall networking,Network Engineer
cybersecurity penetration testing kali linux,Cybersecurity Analyst
ethical hacking network security,Cybersecurity Analyst
ui ux figma adobe xd,UI UX Designer
wireframing prototyping user research,UI UX Designer
seo digital marketing content strategy,Digital Marketing Specialist
social media marketing analytics,Digital Marketing Specialist
android java xml,Mobile App Developer
flutter dart firebase,Mobile App Developer
ios swift xcode,Mobile App Developer
manual testing test cases bug tracking,Software Tester
selenium automation testing,Software Tester
data warehousing etl pipelines,Data Engineer
big data spark hadoop,Data Engineer
blockchain solidity smart contracts,Blockchain Developer
